datetime,index,sv,rv
2010-10-06,CAC 40,1.2087073588442327,0.007918333157931662
2010-10-06,DAX,0.7725369124186294,0.008455767262643882
2010-10-06,DJIA,1.3383202055937522,0.0054313902456001074
2010-10-06,FTSE 100,1.1687453031754218,0.008769264507357502
2010-10-07,CAC 40,1.1012667047247455,0.011781595817205748
2010-10-07,DAX,0.8583743471318106,0.010758392073167809
2010-10-07,DJIA,1.1509553768106269,0.005079370039680117
2010-10-07,FTSE 100,0.9880114934060266,0.007949842765740716
2010-10-08,CAC 40,1.3430081764935922,0.01252884671468208
2010-10-08,DAX,0.8951618191517453,0.009664367542679657
2010-10-08,DJIA,1.1375721747546892,0.0055677643628300215
2010-10-08,FTSE 100,0.9759625727547336,0.007687652437513028
2010-10-11,CAC 40,1.007256132370194,0.005594640292279746
2010-10-11,DAX,0.9687367631916148,0.0038340579025361626
2010-10-11,DJIA,1.0037401541953141,0.00425440947723653
2010-10-11,FTSE 100,0.9639136521034404,0.005019960159204453
2010-10-12,CAC 40,1.0878366229598098,0.01110220698780202
2010-10-12,DAX,0.8093243844385644,0.009705668446840742
2010-10-12,DJIA,1.0171233562512516,0.008712060605849802
2010-10-12,FTSE 100,0.8554733662418035,0.011028871202439531
2010-10-13,CAC 40,1.1549870317844897,0.008843076387773657
2010-10-13,DAX,0.9809992538649264,0.00848528137423857
2010-10-13,DJIA,1.164338578866564,0.0063166446789415034
2010-10-13,FTSE 100,1.2048920651293007,0.008723531395025755
2010-10-14,CAC 40,1.0744065411948738,0.007739509028355739
2010-10-14,DAX,1.1526741232912887,0.006332456079595025
2010-10-14,DJIA,1.177721780922502,0.0058137767414994535
2010-10-14,FTSE 100,0.8434244455905106,0.006024948132556827
2010-10-15,CAC 40,1.1684171135494252,0.007681145747868608
2010-10-15,DAX,1.0055242352115497,0.008893818077743662
2010-10-15,DJIA,1.0171233562512516,0.007655063683601855
2010-10-15,FTSE 100,0.9518647314521476,0.00793095202355934
2010-10-18,CAC 40,1.1952772770792972,0.00758287544405155
2010-10-18,DAX,1.226249067331158,0.00648074069840786
2010-10-18,DJIA,1.204488185034377,0.005186520991955976
2010-10-18,FTSE 100,1.0964517792676636,0.007362064927722385
2010-10-19,CAC 40,1.1818471953143612,0.009994998749374609
2010-10-19,DAX,1.0423117072314845,0.008497058314499201
2010-10-19,DJIA,1.231254589146252,0.012666372803608777
2010-10-19,FTSE 100,0.9880114934060266,0.009246621004453464
2010-10-20,CAC 40,1.1818471953143612,0.008294576541331087
2010-10-20,DAX,0.93194929117168,0.007169379331573969
2010-10-20,DJIA,1.177721780922502,0.008330666239863413
2010-10-20,FTSE 100,1.0241582553599058,0.007273238618387273
2010-10-21,CAC 40,1.3027179311987844,0.00861974477580398
2010-10-21,DAX,1.0913616699247306,0.007252585745787498
2010-10-21,DJIA,1.2446377912021895,0.010181748376384088
2010-10-21,FTSE 100,1.0000604140573195,0.008221921916437785
2010-10-22,CAC 40,1.1818471953143612,0.0072456883730947184
2010-10-22,DAX,1.1404116326179772,0.005674504383644443
2010-10-22,DJIA,1.0706561644750017,0.003714835124201342
2010-10-22,FTSE 100,0.8675222868930965,0.00565685424949238
2010-10-25,CAC 40,1.1281268682546175,0.006848357467305572
2010-10-25,DAX,0.9687367631916148,0.004037325847637271
2010-10-25,DJIA,1.1108057706428138,0.008234075540095559
2010-10-25,FTSE 100,0.8313755249392175,0.009492101980067428
2010-10-26,CAC 40,0.9401057235455144,0.008378544026261366
2010-10-26,DAX,1.079099179251419,0.006618156843109718
2010-10-26,DJIA,1.0572729624190642,0.007328028384224505
2010-10-26,FTSE 100,0.9398158108008547,0.0066105975524153645
2010-10-27,CAC 40,0.9266756417805786,0.010371547618364388
2010-10-27,DAX,1.079099179251419,0.008426149773176359
2010-10-27,DJIA,1.0305065583071893,0.008234075540095559
2010-10-27,FTSE 100,0.9157179694982688,0.01069925231032524
2010-10-28,CAC 40,1.1146967864896815,0.009864076236526156
2010-10-28,DAX,1.2139865766578464,0.008093207028119323
2010-10-28,DJIA,1.0305065583071893,0.00793095202355934
2010-10-28,FTSE 100,0.8916201281956826,0.011027647074512316
2010-10-29,CAC 40,1.0341162959000658,0.009077444574328174
2010-10-29,DAX,0.9196868004983688,0.005991660871578096
2010-10-29,DJIA,1.0305065583071893,0.006244997998398397
2010-10-29,FTSE 100,0.8675222868930965,0.00732120208708925
2010-11-01,CAC 40,0.6186885245901639,0.011088101731135046
2010-11-01,DAX,0.9184975644855792,0.010037828450416952
2010-11-01,DJIA,1.0211628376818287,0.009581231653602787
2010-11-01,FTSE 100,0.8477967858994298,0.01017536240140861
2010-11-02,CAC 40,1.0420017256255392,0.007496665925596525
2010-11-02,DAX,0.9051860055799908,0.005932958789676529
2010-11-02,DJIA,1.0892403601939509,0.007259476565152616
2010-11-02,FTSE 100,0.8217107309486779,0.005621387729022078
2010-11-03,CAC 40,1.1885332182916306,0.008384509526501834
2010-11-03,DAX,0.8253166521464623,0.005665686189686118
2010-11-03,DJIA,1.1981643962133457,0.00834865258589672
2010-11-03,FTSE 100,0.8347537584240537,0.006228964600958975
2010-11-04,CAC 40,1.286220880069025,0.00989444288477123
2010-11-04,DAX,1.1980403015029288,0.006670832032063167
2010-11-04,DJIA,1.3615504502424385,0.011907686593121268
2010-11-04,FTSE 100,1.2782166925868326,0.017009732508184834
2010-11-05,CAC 40,1.318783433994823,0.00937016542009798
2010-11-05,DAX,1.3178443316532222,0.0071833139984271875
2010-11-05,DJIA,1.3343194412375894,0.005196152422706632
2010-11-05,FTSE 100,1.304302747537584,0.009143303560529968
2010-11-08,CAC 40,1.6118464193270057,0.007266360849833981
2010-11-08,DAX,1.1447940658805769,0.00447213595499958
2010-11-08,DJIA,1.1845488917109217,0.005522680508593629
2010-11-08,FTSE 100,1.0956143079315708,0.004560701700396553
